image_id,labels,transcriptions
1008,0,Sight Adichifying College Staff Expectation Reality nivasmc@fb
1176,1,RUKKu ioh IHL~NW irukkuzingafun irukku PHOTOURID Ungala Leggings Poda venamnu solala Short Tops potutu poda venam nu dha solrom nallavae ila asigama irukum Wear panunga ana Long tops potu wear panunga
76,0,Seven Screen Studio @7screenstudio Considering overflowing passes requests & safety constraints
1633,0,During Farewell Girls: Boys: Pogumbodhu andha Switch board ellathaiyum mothama norukkiruvom da day
1204,1,போஸ்ட் செய்தவர்: Posted on Qthanga456 Sharechat திருமண மேடையில் மண மகனுக்கு கொடுக்கப்படும் கடைசி வார்னிங். - falwzsmle யாரே பொண்ண கூப்பிடுங்கோ;நல்ல நேரம் முடியப் போகுறது #marriage parithabangal GETIT ON Google Play
595,0,எல்லாம் இருக்கிறவன் அவனால எதயுமே அனுபவிக்க முடியல எதையாவது அனுபவிக்கனும் ன்னு இருக்கரவன் கிட்ட எதுவுமே இல்லை. ஈபுரியலல #Life_circle
1278,1,Age - 20 Age -19 Iட : 1~141_PD0/TW~~~ Gabriella ah vida chinna ponna ah shivani
1504,0,Csv சேரி கண்ணா அம்மா சளி ஹாஸ்பிடல் புடிச்சுருச்சு போலாம்
882,0,Playing PUBG In 2G Network Be Like Minion MomgS ]omய மளகை ஸபடோர் @Minion Memes Tamil APLATE NINUER Vaathiyare Bike eh illama Bike Ia Porom Vaathiyare காபம்
891,0,சுந்தர் சி இருட்டு UIII UIII MYFRND உ ருட்டு Na oru பgineer சரியானவிடை
974,0,Inl summer தெய்வமே நீ மட்டும் லலைனைனா அடிக்குற வெயிலுக்கு கருகியிருப்பேன் In winter LL ME 1:-!ஃ~4. நடு வீட்டில் உனக்கு என்னடா வேலை. diskool
294,0,vishal_sammy _ EB Anna current kuduthidu na
1007,0,EU PULLIIaa 21 vayasu ponna love panravanavum nadika theriyum Juros ப^ prakashra  PULIINqO மT from rhe direcror of mozhi Adhe ponnuku Appa ah vum nadikavum theriyum 79
1123,1,நேத்து நைட்டு எங்கம்மா ரூம் எதுக்குடா போன நா உனக்கு இன்னொரு அப்பா டி க்கு
762,0,evilrock mt Anubavuthula soldren panakara pasanga kuda matum poira kudathu mt HIIHII PISTU ANLWL trip
1065,1,BeSUle & Unmaiya Sollu Idhu Un Kambal Thaana MO
1220,1,English ghosts மீமாண்டி SundarGஞhosts
751,0,"கல்யாணம் புருஷன் பொண்டாட்டியா இருக்கவங்க கூட அமைதியா இருக்காங்க ரு மாசம் லவ் பண்ணிட்டு ""பொண்டாட்டி புருஷானு இந்த அநியாயம் பண்றிங்களே டா ஆகி தான்"
118,0,Dharshan Just now Frnd * En da enga status pakka matra Me : nan status pathu palagaravan ila bro #dharshanmc @ LEVEL MEME5 = = VER^ LEVEL .00-
847,0,Happy Diwali doli nu solitu convo start panuvanga. Qirukku_inga_fun_irukku Paathu soodhanama irunga nanbargalae
530,0,POV~ Uploading your hot af looking photo to kadupethify your ex Gethu kaatiyadhaga unargirar LEVEL WEWES  = = VER^ L[VEL
1753,0,90 PABITHHBANGII ப தான் ஊர் சுத்தி ல்ல ப்ப பெ தான் ஊர் சுத்தி
754,0,Ticket book paniyachu mama Super mapla FDFS porom. Therika vidrom FDFS ah. Bus ticket mama. Ayudha pooja leave ku. HIIHH PDSII 5 ~G
703,0,Flnn u5- S-[DIT~5 - 3H IE Tu TLD DI 7#னI-175 417ப_]113 ஈDENGA~ட+ NN moabd Dei namma cheems da
794,0,Subash Garrix FIIHHI TIJTII Just now Office Colleague Neenga intha leave Ia Trip ku engayum polaya dood??? LeMe Nan daily office vanthu porathaye periya Trip than dood
399,0,Movies events festival enga ponaalum aasaikku oru snap photo eduthu anupanum ukkandhu mothamum video eduthu anupitu iruka kudadhu mt L[VEL LE VE1 MEMES = = VE*^
740,0,பதாப BREAKING NEWS ஏிவமுற 9 சென்னை பயணத்தை தவிர்க்க வேண்டும் - முதல்வர வெளியூர்களில் இருந்து சென்னை வருவதை 2லிருந்து 3 நாட்கள் தவிர்க்க வேண்டும் மீட்புப் பணிகளை பார்வையிட்டு பாதிக்கப்பட்ட மக்களுக்கு நிவாரண உதவிகளை உத்தரவிட்டுள்ளேன் முதல்வர் முகஸ்டாலின் Follow uS Cn 07|17|2021www puthivathalaimurai com வழங்க
